wav,fnu
11.5571,2.111570
11.5670,2.015190
11.5749,2.105820
11.5838,1.961180
11.5927,1.969940
11.6017,1.930110
11.6106,1.908060
11.6195,1.867750
11.6285,1.832880
11.6374,1.880000
11.6464,1.948590
11.6553,1.950720
11.6643,1.821280
11.6733,1.769360
11.6823,1.764630
11.6901,1.759240
11.7002,1.707490
11.7093,1.714480
11.7183,1.731660
11.7273,1.756250
11.7363,1.801780
11.7474,1.656000
11.7544,1.611190
11.7634,1.631820
11.7725,1.594870
11.7815,1.592930
11.7906,1.594180
11.7997,1.640890
11.8094,1.609950
11.8178,1.642640
11.8269,1.603110
11.8360,1.571270
11.8451,1.594840
11.8543,1.602500
11.8634,1.562230
11.8715,1.564510
11.8816,1.598660
11.8908,1.584290
11.8999,1.579370
11.9091,1.584180
11.9183,1.569140
11.9291,1.544050
11.9366,1.586830
11.9458,1.618040
11.9550,1.575100
11.9642,1.530020
11.9734,1.532780
11.9826,1.515650
11.9916,1.489240
12.0011,1.510300
12.0103,1.510330
12.0195,1.491060
12.0288,1.515780
12.0380,1.524280
12.0496,1.455930
12.0566,1.453750
12.0659,1.431120
12.0751,1.428890
12.0844,1.413380
12.0937,1.413330
12.1030,1.408410
12.1124,1.378790
12.1217,1.412120
12.1310,1.373080
12.1403,1.348500
12.1497,1.361420
12.1590,1.323640
12.1707,1.320280
12.1777,1.353140
12.1871,1.350100
12.1965,1.332450
12.2059,1.285320
12.2153,1.290310
12.2247,1.300320
12.2338,1.265330
12.2435,1.312690
12.2529,1.282100
12.2624,1.307780
12.2718,1.280680
12.2812,1.261460
12.2922,1.236780
12.3001,1.282370
12.3096,1.226780
12.3191,1.287890
12.3286,1.304740
12.3380,1.249150
12.3475,1.293620
12.3556,1.204400
12.3666,1.264240
12.3761,1.252920
12.3856,1.250220
12.3951,1.212350
12.4047,1.175350
12.4145,1.148540
12.4237,1.154920
12.4333,1.165920
12.4429,1.127660
12.4525,1.129820
12.4620,1.177440
12.4734,1.145470
12.4812,1.161630
12.4908,1.161400
12.5004,1.159630
12.5101,1.143570
12.5197,1.154950
12.5293,1.164300
12.5374,1.147240
12.5486,1.166030
12.5583,1.153770
12.5679,1.151940
12.5776,1.162480
12.5873,1.144100
12.5967,1.129800
12.6067,1.144070
12.6164,1.161770
12.6261,1.162290
12.6358,1.145630
12.6455,1.163850
12.6560,1.129030
12.6650,1.116450
12.6747,1.143150
12.6845,1.107780
12.6943,1.097110
12.7040,1.127080
12.7155,1.127280
12.7236,1.121480
12.7334,1.116850
12.7432,1.107310
12.7530,1.092710
12.7628,1.094000
12.7726,1.106160
12.7801,1.104800
12.7923,1.125570
12.8021,1.114660
12.8120,1.124200
12.8218,1.131180
12.8317,1.114180
12.8399,1.102570
12.8514,1.128240
12.8613,1.105950
12.8712,1.098810
12.8811,1.087890
12.8911,1.081540
12.8998,1.091070
12.9109,1.084960
12.9208,1.100930
12.9308,1.105350
12.9407,1.087720
12.9507,1.076020
12.9599,1.086380
12.9706,1.108380
12.9806,1.145120
12.9906,1.104700
13.0006,1.110480
13.0106,1.132590
13.0202,1.105000
13.0306,1.144940
13.0407,1.125560
13.0507,1.130010
13.0607,1.110710
