JD,Magnitude,Observer Code
2456901.81204,11.742,ROE
2456903.73929,11.711,ROE
2456903.77772,11.635,MJB
2456903.82491,11.655,MJB
2456904.68932,11.755,ROE
2456904.79398,11.696,MJB
2456905.72909,11.585,ROE
2456905.83196,11.655,MJB
2456907.74458,11.718,ROE
2456907.9472,11.739,MJB
2456908.72098,11.838,ROE
2456910.75823,11.629,MJB
2456919.74865,11.571,ROE
2456920.76377,11.557,ROE
2456921.70943,11.561,ROE
2456921.77911,11.584,MJB
2456922.70811,11.603,ROE
2456922.77344,11.594,MJB
2456923.71361,11.636,ROE
2456924.83326,11.562,MZK
2456930.81635,11.584,ROE
2456931.68845,11.718,ROE
2456933.70422,12.21,NLZ
2456941.57333,11.567,NLZ
2456945.64122,11.674,NLZ
2456945.81446,11.705,MJB
2456955.59569,11.598,NLZ
2456959.74569,11.535,NLZ
2456969.53757,11.671,NLZ
2456980.54345,11.604,NLZ
2456990.80186,11.833,NLZ
2456999.50277,11.857,NLZ
2457012.46473,11.621,NLZ
2457018.43885,11.585,BKL
2457045.41233,11.743,NLZ
2457058.39867,11.592,NLZ
2446354.1,12.0,KOA
2446380.0,11.8,KOA
2446405.0,11.8,KOA
2446712.1,11.7,KOA
2446718.0,11.7,KOA
2446738.9,11.6,KOA
2446740.9,11.6,KOA
2446746.0,11.6,KOA
2446755.0,11.7,KOA
2446757.9,11.7,KOA
2446760.9,11.7,KOA
2446785.0,11.6,KOA
2446788.9,11.7,KOA
2446794.0,11.5,KOA
2446796.9,11.6,KOA
2446800.0,11.6,KOA
2446823.9,11.7,KOA
2447819.97,11.5,KOA
2450801.43,11.7,KTO
2450803.24,11.7,KTO
2450804.34,13.0,KTO
2450825.18,11.7,KTO
2450842.32,11.6,KTO
2450846.24,11.6,KTO
2450851.23,11.4,KTO
2450855.22,11.3,KTO
2450856.2,11.3,KTO
2450861.23,11.4,KTO
2450862.22,11.6,KTO
2450867.22,11.6,KTO
2450873.23,11.5,KTO
2450875.22,11.7,KTO
2450876.22,11.6,KTO
2450879.24,11.6,KTO
2450883.23,11.7,KTO
2450884.23,11.5,KTO
2451031.46,11.4,KTO
2451032.44,11.6,KTO
2451043.47,11.8,KTO
2451049.39,11.8,KTO
2451050.41,11.9,KTO
2451052.39,12.2,KTO
2451053.51,11.6,KTO
2451055.43,11.8,KTO
2451406.48,11.9,KTO
2451409.47,11.9,KTO
2451413.43,11.8,KTO
2451415.46,11.8,KTO
2451416.55,11.8,KTO
2451421.44,11.8,KTO
2451425.56,11.8,KTO
2451429.44,11.8,KTO
2451430.4,11.8,KTO
2451432.52,11.8,KTO
2451433.42,11.8,KTO
2451434.4,13.2,KTO
2451434.56,12.5,KTO
2451435.54,11.7,KTO
2451436.54,11.8,KTO
2451437.53,11.7,KTO
2451440.33,11.7,KTO
2451447.53,11.8,KTO
2451462.31,11.8,KTO
2451468.32,11.8,KTO
2451479.3,11.8,KTO
2451481.34,11.7,KTO
2451484.25,11.8,KTO
2451485.24,11.8,KTO
2451493.21,11.8,KTO
2451509.26,11.8,KTO
2451513.17,11.8,KTO
2451515.22,11.8,KTO
2451521.31,11.7,KTO
2451534.28,11.8,KTO
2451549.13,11.8,KTO
2451568.18,11.8,KTO
2451783.54,11.7,KTO
2451785.55,11.6,KTO
2451789.44,11.6,KTO
2451790.46,11.6,KTO
2451794.55,11.6,KTO
2451797.4,11.8,KTO
2451799.54,11.6,KTO
2451801.55,11.7,KTO
2451802.53,11.6,KTO
2451804.55,11.7,KTO
2451805.55,11.6,KTO
2451811.54,11.6,KTO
2451813.35,11.6,KTO
2451814.42,11.6,KTO
2451815.42,11.6,KTO
2451816.51,11.6,KTO
2451818.51,11.7,KTO
2451819.51,11.5,KTO
2451824.37,11.7,KTO
2451840.44,11.7,KTO
2451954.283,12.1,MUY
2451954.2889,11.7,RMQ
2451955.2583,11.7,RMQ
2451956.274,11.6,MUY
2451959.2688,11.7,RMQ
2451959.285,11.6,MUY
2451964.274,11.7,MUY
2451965.266,11.8,RMQ
2451965.28,11.7,MUY
2451968.2611,11.6,RMQ
2452123.5535,11.7,RMQ
2452133.4604,11.7,MUY
2452133.4993,11.7,RMQ
2452136.4514,11.7,MUY
2452136.4646,11.7,RMQ
2452137.4667,11.7,RMQ
2452138.4743,11.7,MUY
2452142.45,11.7,MUY
2452143.4208,11.7,MUY
2452144.4729,11.7,RMQ
2452147.4396,11.7,MUY
2452148.4347,11.7,RMQ
2452149.4611,11.7,MUY
2452151.4222,11.7,MUY
2452151.4951,11.8,RMQ
2452161.409,11.7,MUY
2452171.466,11.7,RMQ
2452172.4306,11.8,RMQ
2452175.4931,11.7,MUY
2452176.384,11.7,MUY
2452178.3729,11.7,MUY
2452180.3667,11.7,MUY
2452181.5875,11.4,SXN
2452189.4576,11.7,MUY
2452190.3,13.0,SPK
2452190.4,12.4,SPK
2452190.6764,11.8,SXN
2452191.3743,11.8,MUY
2452192.3569,11.8,MUY
2452193.3139,11.8,MUY
2452194.4083,11.7,MUY
2452202.25,11.6,KTO
2452204.3319,11.7,MUY
2452205.23,11.7,KTO
2452206.3299,11.7,MUY
2452207.3736,11.7,MUY
2452212.22,11.7,KTO
2452218.3236,11.7,MUY
2452219.359,11.7,MUY
2452223.3701,11.7,MUY
2452224.2,11.8,SPK
2452224.325,11.7,MUY
2452225.2,13.3,SPK
2452225.3,13.3,SPK
2452226.4792,11.8,SXN
2452228.4153,11.5,MUY
2452229.3708,11.7,MUY
2452235.3903,11.0,SXN
2452236.3715,11.7,MUY
