# JD             Magnitude   Uncertainty   HQuncertainty   Band Observer_Code Comment_Code(s) Comp_Star_1 Comp_Star_2 Charts         Comments                                         Transfomed Airmass   Validation_Flag Cmag   Kmag   HJD   Star_Name Observer_Affiliation Measurement_Method Grouping_Method ADS_Reference   Digitizer   Credit
  2451031.46     11.4        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451032.44     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451043.47     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451049.39     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451050.41     11.9        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451052.39     12.2        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451053.51     11.6        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451055.43     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451406.48     11.9        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451409.47     11.9        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451413.43     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451415.46     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451416.55     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
