MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1126006065276,11.32,0.05,17.42528,27.95040,53708.18132,0
1126006065276,11.36,0.05,17.42529,27.95038,53708.18838,0
1126006065276,11.34,0.05,17.42527,27.95038,53708.19532,0
1126006065276,11.35,0.05,17.42527,27.95040,53708.20224,0
1126006065276,11.54,0.05,17.42528,27.95043,53729.19332,0
1126006065276,11.55,0.05,17.42532,27.95043,53729.20108,0
1126006065276,11.51,0.05,17.42533,27.95042,53729.20875,0
1126006065276,11.55,0.05,17.42534,27.95045,53729.21643,0
1126006065276,13.89,0.05,17.42525,27.95052,53735.15179,0
1126006065276,13.91,0.05,17.42526,27.95051,53735.15821,0
1126006065276,13.90,0.05,17.42526,27.95053,53735.16462,0
1126006065276,13.90,0.05,17.42526,27.95053,53735.17109,0
1126006065276,11.39,0.05,17.42526,27.95040,53561.43647,0
1126006065276,11.39,0.05,17.42530,27.95045,53561.44381,0
1126006065276,11.36,0.05,17.42525,27.95043,53561.45113,0
1126006065276,11.40,0.05,17.42527,27.95043,53561.45843,0
1126006065276,11.38,0.05,17.42530,27.95040,53678.32724,0
1126006065276,11.38,0.05,17.42525,27.95041,53678.33260,0
1126006065276,11.34,0.05,17.42523,27.95041,53678.33798,0
1126006065276,11.33,0.05,17.42524,27.95037,53678.34335,0
1126006065276,11.37,0.05,17.42528,27.95041,53696.22575,0
1126006065276,11.31,0.05,17.42525,27.95040,53696.23270,0
1126006065276,11.29,0.05,17.42524,27.95042,53696.23966,0
1126006065276,11.38,0.05,17.42527,27.95041,53696.24665,0
1126006065276,11.44,0.05,17.42528,27.95039,53702.17474,0
1126006065276,11.45,0.05,17.42527,27.95042,53702.18072,0
1126006065276,11.39,0.05,17.42529,27.95044,53702.18666,0
1126006065276,11.10,0.05,17.42537,27.95049,53702.19259,0
1126006065276,11.24,0.05,17.42527,27.95045,53652.26528,0
1126006065276,11.40,0.05,17.42528,27.95046,53656.32925,0
1126006065276,11.38,0.05,17.42529,27.95040,53656.33491,0
1126006065276,11.38,0.05,17.42525,27.95045,53656.34057,0
1126006065276,11.42,0.05,17.42526,27.95042,53656.34624,0
1126006065276,11.33,0.05,17.42527,27.95038,53672.24059,0
1126006065276,11.33,0.05,17.42525,27.95041,53672.25007,0
1126006065276,11.29,0.05,17.42522,27.95043,53672.25960,0
1126006065276,11.33,0.05,17.42524,27.95039,53672.26921,0
1126006065276,11.37,0.05,17.42551,27.95042,53639.34490,0
1126006065276,11.41,0.05,17.42554,27.95038,53639.35435,0
1126006065276,11.44,0.05,17.42548,27.95039,53639.36380,0
1126006065276,11.42,0.05,17.42554,27.95040,53639.37330,0
1126006065276,11.41,0.05,17.42523,27.95042,53642.26896,0
1126006065276,11.39,0.05,17.42517,27.95043,53642.27763,0
1126006065276,11.39,0.05,17.42527,27.95040,53642.28636,0
1126006065276,11.38,0.05,17.42525,27.95044,53642.29502,0
1126006065276,11.44,0.05,17.42521,27.95040,54085.07691,0
1126006065276,11.39,0.05,17.42523,27.95039,54085.08521,0
1126006065276,11.38,0.05,17.42525,27.95037,54085.09343,0
1126006065276,11.43,0.05,17.42521,27.95040,54085.10168,0
1126006065276,11.39,0.05,17.42528,27.95041,53761.07706,0
1126006065276,11.33,0.05,17.42525,27.95046,53761.08346,0
1126006065276,11.34,0.05,17.42526,27.95047,53761.08988,0
1126006065276,11.35,0.05,17.42526,27.95042,53761.09627,0
1126006065276,10.67,0.05,17.42532,27.95051,53903.43038,0
1126006065276,10.66,0.05,17.42528,27.95051,53903.43137,0
1126006065276,10.67,0.05,17.42522,27.95054,53903.43238,0
1126006065276,10.65,0.05,17.42537,27.95051,53903.43337,0
1126006065276,11.29,0.05,17.42519,27.95028,54054.18608,0
1126006065276,11.32,0.05,17.42523,27.95030,54054.19262,0
1126006065276,11.33,0.05,17.42525,27.95030,54054.19915,0
1126006065276,11.29,0.05,17.42521,27.95031,54054.20568,0
1126006065276,11.33,0.05,17.42525,27.95029,54061.21106,0
1126006065276,11.31,0.05,17.42520,27.95033,54061.21972,0
1126006065276,11.31,0.05,17.42522,27.95037,54061.22835,0
1126006065276,11.31,0.05,17.42522,27.95030,54061.23699,0
1126006065276,11.45,0.05,17.42524,27.95033,54027.25716,0
1126006065276,11.45,0.05,17.42524,27.95035,54027.26574,0
1126006065276,11.45,0.05,17.42515,27.95029,54027.27432,0
1126006065276,11.41,0.05,17.42511,27.95041,54027.28294,0
1126006065276,11.39,0.05,17.42524,27.95029,54035.23161,0
1126006065276,11.38,0.05,17.42524,27.95032,54035.23810,0
1126006065276,11.40,0.05,17.42521,27.95030,54035.24459,0
1126006065276,11.37,0.05,17.42520,27.95034,54035.25110,0
1126006065276,12.57,0.05,17.42528,27.95043,53995.41838,0
1126006065276,12.55,0.05,17.42525,27.95047,53995.43019,0
1126006065276,12.60,0.05,17.42529,27.95045,53995.44200,0
1126006065276,12.59,0.05,17.42525,27.95045,53995.45390,0
