## (from tabmap V5.95 (2014-10-19)) 2015-07-08T10:36:32
#---------------------------------------------------------------------------
#-- J/AJ/118/1043 Herbig Ae/Be stars catalog (Herbst+, 1999)
#--------------------------------------------------------------------------
#---Table: J/AJ/118/1043/./other/rz_psc.dat Other stars individual light curves  (22 records)
#-------------------------------------------------------------------------------
#     Label Format Unit  Explanations
#-------------------------------------------------------------------------------
#        JD F9.3   d     Julian date (JD-2440000) (1)
#      Vmag F5.2   mag   V magnitude
#       U-B F5.2   mag   ?=99.99 U-B colour index
#       B-V F5.2   mag   ?=99.99 B-V colour index
#       V-R F5.2   mag   ?=99.99 V-R colour index
#       R-I F5.2   mag   ?=99.99 R-I colour index
#       Ref A2     ---   Reference in refs.dat file
#      Note A1     ---   [*] Note on V-R colour index (2)
#-------------------------------------------------------------------------------
#Note (1): JD may be negative (for dates before 2440000)
#Note (2): *: the V-R magnitudes given were made in the Johnson system
#-------------------------------------------------------------------------------
--------------------------------------------
#         |     |     |     |     |     |  |N
#         |     |     |     |     |     |  |o
#         |     |     |     |     |     | R|t
       JD| Vmag|  U-B|  B-V|  V-R|  R-I|ef|e
 8111.439|11.61| 0.20| 0.73| 0.58|99.99|86|*
 8112.434|11.58| 0.18| 0.74| 0.56|99.99|86|*
 8113.449|11.68| 0.15| 0.75| 0.57|99.99|86|*
 8114.448|11.67| 0.22| 0.73| 0.62|99.99|86|*
 8117.468|11.62|99.99| 0.58| 0.49|99.99|86|*
 8119.455|11.75| 0.18| 0.81| 0.64|99.99|86|*
 8120.463|11.91|99.99| 0.85| 0.68|99.99|86|*
 8121.461|11.76|99.99| 0.77| 0.67|99.99|86|*
 8121.465|11.74|99.99| 0.80| 0.64|99.99|86|*
 8122.467|11.71|99.99| 0.78| 0.65|99.99|86|*
 8123.444|11.73|99.99| 0.74| 0.62|99.99|86|*
 8126.456|11.67|99.99| 0.77| 0.63|99.99|86|*
 8127.454|11.72|99.99| 0.77| 0.59|99.99|86|*
 8128.457|11.77|99.99| 0.84| 0.65|99.99|86|*
 8129.443|11.79|99.99| 0.78| 0.64|99.99|86|*
 8130.449|11.97|99.99| 0.85|99.99|99.99|86|*
 8135.440|11.67| 0.15| 0.72| 0.62|99.99|86|*
 8136.440|11.60|99.99| 0.71| 0.59|99.99|86|*
 8139.438|11.64|99.99| 0.75| 0.56|99.99|86|*
 8140.430|11.63| 0.16| 0.74| 0.57|99.99|86|*
 8143.434|11.63|99.99| 0.76| 0.62|99.99|86|*
 8144.425|11.61| 0.12| 0.77| 0.60|99.99|86|*
 8145.457|11.76| 0.16| 0.75| 0.64|99.99|86|*
 8146.428|11.73|99.99| 0.73| 0.62|99.99|86|*
 8147.437|11.67| 0.18| 0.72| 0.60|99.99|86|*
 8148.428|11.71|99.99| 0.76| 0.60|99.99|86|*
 8149.438|11.72|99.99| 0.74|99.99|99.99|86|*
 8150.425|11.70| 0.15| 0.74| 0.61|99.99|86|*
 8151.434|11.66|99.99| 0.71| 0.59|99.99|86|*
 8152.404|11.69|99.99| 0.73| 0.61|99.99|86|*
 8153.396|11.86|99.99| 0.80| 0.62|99.99|86|*
 8154.425|11.64| 0.17| 0.74| 0.58|99.99|86|*
 8155.413|11.64|99.99| 0.72| 0.59|99.99|86|*
 8156.419|11.84|99.99| 0.79| 0.63|99.99|86|*
 8157.426|11.67|99.99| 0.75| 0.60|99.99|86|*
 8158.433|11.69|99.99| 0.75| 0.60|99.99|86|*
 8159.425|11.73|99.99| 0.73| 0.61|99.99|86|*
