## (from tabmap V5.95 (2014-10-19)) 2015-07-08T10:36:32
#---------------------------------------------------------------------------
#-- J/AJ/118/1043 Herbig Ae/Be stars catalog (Herbst+, 1999)
#--------------------------------------------------------------------------
#---Table: J/AJ/118/1043/./other/rz_psc.dat Other stars individual light curves  (22 records)
#-------------------------------------------------------------------------------
#     Label Format Unit  Explanations
#-------------------------------------------------------------------------------
#        JD F9.3   d     Julian date (JD-2440000) (1)
#      Vmag F5.2   mag   V magnitude
#       U-B F5.2   mag   ?=99.99 U-B colour index
#       B-V F5.2   mag   ?=99.99 B-V colour index
#       V-R F5.2   mag   ?=99.99 V-R colour index
#       R-I F5.2   mag   ?=99.99 R-I colour index
#       Ref A2     ---   Reference in refs.dat file
#      Note A1     ---   [*] Note on V-R colour index (2)
#-------------------------------------------------------------------------------
#Note (1): JD may be negative (for dates before 2440000)
#Note (2): *: the V-R magnitudes given were made in the Johnson system
#-------------------------------------------------------------------------------
--------------------------------------------
#         |     |     |     |     |     |  |N
#         |     |     |     |     |     |  |o
#         |     |     |     |     |     | R|t
       JD| Vmag|  U-B|  B-V|  V-R|  R-I|ef|e
 8933.287|12.04| 0.39| 0.91| 0.73|99.99|86|*
 8933.295|12.04| 0.35| 0.91| 0.74|99.99|86|*
 8933.380|12.04|99.99| 0.91| 0.77|99.99|86|*
 8934.092|11.78| 0.35| 0.93| 0.65|99.99|86|*
 8938.099|11.67| 0.17| 0.77| 0.59|99.99|86|*
 8938.145|11.76| 0.12| 0.73| 0.58|99.99|86|*
 8938.220|11.69| 0.22| 0.76| 0.64|99.99|86|*
 8938.270|11.69| 0.15| 0.76| 0.63|99.99|86|*
 8938.316|11.68| 0.17| 0.80| 0.59|99.99|86|*
 8938.393|11.67| 0.25| 0.75| 0.58|99.99|86|*
 8938.396|11.67| 0.20| 0.76| 0.56|99.99|86|*
 8948.102|11.79| 0.26| 0.87| 0.62|99.99|86|*
 8948.261|11.82| 0.27| 0.83| 0.63|99.99|86|*
 8951.113|11.80| 0.25| 0.78| 0.65|99.99|86|*
 8951.267|11.78| 0.23| 0.80| 0.63|99.99|86|*
 8952.090|11.82| 0.28| 0.80| 0.59|99.99|86|*
 8952.116|11.89| 0.11| 0.82| 0.62|99.99|86|*
 8954.127|11.68| 0.15| 0.74| 0.62|99.99|86|*
 9164.442|11.64|99.99| 0.71| 0.56|99.99|86|*
 9170.449|11.63|99.99| 0.70| 0.59|99.99|86|*
 9171.444|11.63|99.99| 0.72| 0.60|99.99|86|*
 9172.415|11.57| 0.13| 0.73| 0.55|99.99|86|*
 9173.430|11.56| 0.07| 0.74| 0.56|99.99|86|*
 9181.450|11.80|99.99| 0.72| 0.60|99.99|86|*
 9185.444|11.66| 0.18| 0.72| 0.58|99.99|86|*
 9188.433|11.67| 0.14| 0.69| 0.60|99.99|86|*
 9190.427|11.61| 0.12| 0.69| 0.59|99.99|86|*
 9193.439|12.13| 0.11| 0.73| 0.59|99.99|86|*
 9194.308|11.64| 0.09| 0.70| 0.60|99.99|86|*
 9194.443|11.60| 0.11| 0.72| 0.56|99.99|86|*
 9195.433|11.66| 0.10| 0.72| 0.59|99.99|86|*
 9196.460|11.69|99.99| 0.71| 0.61|99.99|86|*
 9197.459|11.64|99.99| 0.72| 0.57|99.99|86|*
 9198.459|11.65|99.99| 0.71| 0.59|99.99|86|*
 9199.475|11.72|99.99| 0.72| 0.60|99.99|86|*
 9201.461|11.63| 0.18| 0.72| 0.55|99.99|86|*
 9202.427|11.71|99.99| 0.72| 0.60|99.99|86|*
 9203.441|11.73|99.99| 0.72| 0.62|99.99|86|*
 9204.440|11.63| 0.14| 0.71| 0.55|99.99|86|*
 9205.438|11.62| 0.15| 0.71| 0.58|99.99|86|*
 9206.442|11.69|99.99| 0.76| 0.62|99.99|86|*
 9207.445|11.64|99.99| 0.73| 0.58|99.99|86|*
 9210.407|11.68|99.99| 0.75| 0.59|99.99|86|*
 9211.438|11.91|99.99| 0.81| 0.66|99.99|86|*
 9212.440|11.64|99.99| 0.74| 0.59|99.99|86|*
 9219.434|11.67|99.99| 0.76| 0.59|99.99|86|*
 9220.404|11.68| 0.17| 0.73| 0.57|99.99|86|*
 9221.420|11.69|99.99| 0.72| 0.59|99.99|86|*
 9222.396|11.65|99.99| 0.73| 0.58|99.99|86|*
 9224.408|11.69|99.99| 0.73| 0.60|99.99|86|*
 9225.397|11.65|99.99| 0.71| 0.58|99.99|86|*
 9226.391|11.61|99.99| 0.71| 0.55|99.99|86|*
 9227.392|11.65|99.99| 0.72| 0.56|99.99|86|*
 9228.404|11.62|99.99| 0.73| 0.57|99.99|86|*
 9229.409|11.65|99.99| 0.70| 0.59|99.99|86|*
 9230.384|11.63|99.99| 0.72| 0.59|99.99|86|*
 9231.392|12.29|99.99| 0.98| 0.81|99.99|86|*
 9232.416|11.61|99.99| 0.70| 0.57|99.99|86|*
 9233.389|11.61|99.99| 0.74| 0.56|99.99|86|*
 9234.399|11.67|99.99| 0.71| 0.61|99.99|86|*
 9235.399|11.66|99.99| 0.68| 0.64|99.99|86|*
 9236.396|11.66|99.99| 0.73| 0.61|99.99|86|*
 9237.388|11.64|99.99| 0.71| 0.56|99.99|86|*
 9238.390|11.71|99.99| 0.76| 0.61|99.99|86|*
 9239.434|12.33|99.99| 0.74| 0.66|99.99|86|*
 9240.385|11.84| 0.16| 0.78| 0.64|99.99|86|*
 9240.451|11.83|99.99| 0.74| 0.65|99.99|86|*
 9241.391|11.73|99.99| 0.74| 0.57|99.99|86|*
 9242.420|11.70|99.99| 0.70| 0.61|99.99|86|*
 9243.386|11.71|99.99| 0.73| 0.57|99.99|86|*
 9244.369|11.68| 0.14| 0.72| 0.59|99.99|86|*
 9247.393|11.78| 0.22| 0.81| 0.65|99.99|86|*
 9247.471|11.80| 0.27| 0.82| 0.65|99.99|86|*
 9248.162|11.95| 0.51| 0.91| 0.72|99.99|86|*
 9248.220|11.94| 0.42| 0.89| 0.71|99.99|86|*
 9248.297|11.92| 0.37| 0.90| 0.70|99.99|86|*
 9248.375|11.92| 0.38| 0.91| 0.69|99.99|86|*
 9248.453|11.90| 0.35| 0.88| 0.67|99.99|86|*
 9249.165|12.26| 0.51| 1.02| 0.79|99.99|86|*
 9249.226|12.28| 0.47| 1.01| 0.81|99.99|86|*
 9249.285|12.29| 0.54| 1.01| 0.87|99.99|86|*
 9249.366|12.32| 0.45| 1.02| 0.86|99.99|86|*
 9249.494|12.18| 0.44| 0.99| 0.80|99.99|86|*
 9250.162|12.00| 0.37| 0.88| 0.71|99.99|86|*
 9250.295|11.98| 0.28| 0.84| 0.69|99.99|86|*
 9250.470|11.98| 0.30| 0.84| 0.67|99.99|86|*
 9251.155|11.88| 0.30| 0.83| 0.65|99.99|86|*
 9251.282|11.85| 0.23| 0.84| 0.66|99.99|86|*
 9251.491|11.85| 0.29| 0.79| 0.66|99.99|86|*
 9252.233|11.83| 0.22| 0.79| 0.64|99.99|86|*
 9252.494|11.84| 0.27| 0.78| 0.64|99.99|86|*
 9254.197|11.71| 0.20| 0.77| 0.58|99.99|86|*
 9254.491|11.69| 0.15| 0.73| 0.58|99.99|86|*
 9255.264|11.71| 0.19| 0.72| 0.62|99.99|86|*
 9259.206|11.75| 0.15| 0.73| 0.60|99.99|86|*
 9259.337|11.72| 0.16| 0.74| 0.60|99.99|86|*
 9260.185|11.78| 0.22| 0.76| 0.65|99.99|86|*
 9260.269|11.75| 0.25| 0.80| 0.62|99.99|86|*
 9260.404|11.73| 0.22| 0.75| 0.62|99.99|86|*
 9262.383|11.64|99.99| 0.74| 0.52|99.99|86|*
 9263.214|11.65| 0.13| 0.74| 0.60|99.99|86|*
 9264.212|11.65| 0.12| 0.72| 0.56|99.99|86|*
 9269.416|11.66| 0.16| 0.71| 0.57|99.99|86|*
 9271.187|11.64| 0.15| 0.71| 0.58|99.99|86|*
 9272.163|11.64| 0.10| 0.71| 0.59|99.99|86|*
 9275.183|11.67| 0.13| 0.74| 0.56|99.99|86|*
 9277.159|11.65| 0.12| 0.73| 0.58|99.99|86|*
 9298.335|11.70|99.99| 0.70| 0.57|99.99|86|*
 9563.466|11.62|99.99| 0.77| 0.54|99.99|86|*
 9567.426|11.66| 0.17| 0.72| 0.58|99.99|86|*
 9568.423|11.70| 0.13| 0.73| 0.59|99.99|86|*
 9569.451|11.74|99.99| 0.71| 0.59|99.99|86|*
 9572.448|11.70|99.99| 0.73| 0.58|99.99|86|*
 9573.447|11.76|99.99| 0.69| 0.58|99.99|86|*
 9574.453|12.30|99.99| 0.92| 0.73|99.99|86|*
 9575.441|12.21|99.99| 0.97| 0.78|99.99|86|*
 9576.385|11.75|99.99| 0.73| 0.62|99.99|86|*
 9579.422|11.75| 0.18| 0.78| 0.60|99.99|86|*
 9580.333|11.73| 0.10| 0.74| 0.57|99.99|86|*
 9581.310|11.73| 0.15| 0.72| 0.61|99.99|86|*
 9582.348|11.66|99.99| 0.73| 0.59|99.99|86|*
 9583.345|11.69|99.99| 0.76| 0.57|99.99|86|*
 9585.371|11.71|99.99| 0.74| 0.59|99.99|86|*
 9586.255|11.66|99.99| 0.70| 0.58|99.99|86|*
 9587.422|11.72|99.99| 0.71| 0.61|99.99|86|*
 9588.408|11.74|99.99| 0.73| 0.60|99.99|86|*
 9590.473|11.65|99.99| 0.71| 0.60|99.99|86|*
 9591.219|11.67|99.99| 0.71| 0.57|99.99|86|*
 9592.284|11.70|99.99| 0.72| 0.59|99.99|86|*
 9593.280|11.65| 0.11| 0.72| 0.57|99.99|86|*
 9594.321|11.65| 0.13| 0.70| 0.57|99.99|86|*
 9595.411|11.77| 0.12| 0.72| 0.61|99.99|86|*
 9595.460|11.77| 0.13| 0.72| 0.60|99.99|86|*
 9595.470|11.76| 0.12| 0.73| 0.58|99.99|86|*
 9596.233|11.72| 0.12| 0.72| 0.57|99.99|86|*
 9596.371|11.71| 0.14| 0.71| 0.59|99.99|86|*
 9597.280|11.71| 0.14| 0.69| 0.60|99.99|86|*
 9598.318|11.64| 0.12| 0.70| 0.58|99.99|86|*
 9599.311|11.71| 0.13| 0.71| 0.59|99.99|86|*
 9602.262|11.66| 0.17| 0.71| 0.57|99.99|86|*
 9603.250|11.72| 0.10| 0.71| 0.58|99.99|86|*
 9604.248|11.70| 0.16| 0.72| 0.58|99.99|86|*
 9605.263|11.62| 0.14| 0.71| 0.59|99.99|86|*
 9606.256|11.67| 0.12| 0.71| 0.56|99.99|86|*
 9607.275|11.69| 0.08| 0.75| 0.56|99.99|86|*
 9608.235|11.67|99.99| 0.73| 0.57|99.99|86|*
 9609.247|11.62| 0.14| 0.72| 0.57|99.99|86|*
 9610.362|11.71|99.99| 0.71| 0.59|99.99|86|*
 9612.326|11.66|99.99| 0.72| 0.58|99.99|86|*
 9617.324|11.62|99.99| 0.74| 0.56|99.99|86|*
 9618.398|11.69|99.99| 0.75| 0.59|99.99|86|*
 9619.228|11.67|99.99| 0.71| 0.58|99.99|86|*
 9620.228|11.66|99.99| 0.70| 0.59|99.99|86|*
 9621.254|11.70|99.99| 0.67| 0.61|99.99|86|*
 9622.209|11.76| 0.18| 0.76| 0.61|99.99|86|*
 9622.221|11.74|99.99| 0.77| 0.59|99.99|86|*
 9622.244|11.74|99.99| 0.78| 0.59|99.99|86|*
 9622.250|11.77|99.99| 0.74| 0.61|99.99|86|*
 9622.314|11.76| 0.17| 0.77| 0.60|99.99|86|*
 9622.321|11.75|99.99| 0.79| 0.60|99.99|86|*
 9622.395|11.81| 0.22| 0.78| 0.64|99.99|86|*
 9622.402|11.80|99.99| 0.78| 0.63|99.99|86|*
 9622.483|11.77| 0.23| 0.80| 0.61|99.99|86|*
 9622.490|11.79|99.99| 0.80| 0.60|99.99|86|*
 9623.190|11.85| 0.29| 0.85| 0.65|99.99|86|*
 9623.306|11.79| 0.23| 0.77| 0.62|99.99|86|*
 9623.497|11.72|99.99| 0.76| 0.59|99.99|86|*
 9624.217|11.78| 0.15| 0.75| 0.65|99.99|86|*
 9624.320|11.78| 0.23| 0.76| 0.62|99.99|86|*
 9625.188|11.77| 0.20| 0.80| 0.63|99.99|86|*
 9625.293|11.77| 0.26| 0.78| 0.60|99.99|86|*
 9631.368|11.66|99.99| 0.74| 0.60|99.99|86|*
 9632.389|11.66|99.99| 0.74| 0.47|99.99|86|*
 9633.334|11.70|99.99| 0.72| 0.56|99.99|86|*
 9634.256|11.69| 0.14| 0.70| 0.62|99.99|86|*
 9635.328|11.63|99.99| 0.73| 0.59|99.99|86|*
 9640.348|11.67|99.99| 0.75| 0.52|99.99|86|*
 9641.364|11.77|99.99| 0.70| 0.63|99.99|86|*
 9644.380|11.68|99.99| 0.73| 0.59|99.99|86|*
 9934.465|11.73|99.99| 0.75| 0.62|99.99|86|*
 9935.470|11.75|99.99| 0.75| 0.60|99.99|86|*
 9937.436|11.69| 0.15| 0.73| 0.57|99.99|86|*
 9938.443|11.71|99.99| 0.75| 0.60|99.99|86|*
 9940.423|11.69|99.99| 0.74| 0.60|99.99|86|*
 9941.389|11.75|99.99| 0.75| 0.62|99.99|86|*
 9942.416|11.79|99.99| 0.77| 0.63|99.99|86|*
 9943.402|11.80|99.99| 0.77| 0.64|99.99|86|*
 9944.422|11.86|99.99| 0.84| 0.66|99.99|86|*
 9945.411|11.76|99.99| 0.80| 0.64|99.99|86|*
 9946.414|11.74|99.99| 0.75| 0.61|99.99|86|*
 9947.432|11.68|99.99| 0.76| 0.60|99.99|86|*
 9948.440|11.70| 0.17| 0.74| 0.60|99.99|86|*
 9950.426|11.73|99.99| 0.74| 0.61|99.99|86|*
 9951.400|11.72| 0.30| 0.76| 0.66|99.99|86|*
 9952.365|11.83| 0.25| 0.78| 0.65|99.99|86|*
 9953.383|12.00| 0.22| 0.80| 0.69|99.99|86|*
 9955.425|11.74|99.99| 0.73| 0.62|99.99|86|*
 9956.394|11.81| 0.15| 0.77| 0.63|99.99|86|*
 9958.418|11.80|99.99| 0.79| 0.63|99.99|86|*
 9959.401|11.76| 0.20| 0.80| 0.63|99.99|86|*
 9962.394|11.74|99.99| 0.76| 0.60|99.99|86|*
 9963.384|11.73| 0.19| 0.77| 0.60|99.99|86|*
 9964.415|11.94|99.99| 0.77| 0.63|99.99|86|*
 9964.416|11.94|99.99| 0.77| 0.63|99.99|86|*
 9965.404|11.79|99.99| 0.79| 0.62|99.99|86|*
 9981.407|11.73|99.99| 0.77| 0.63|99.99|86|*
 9986.374|11.65|99.99| 0.76| 0.58|99.99|86|*
 9994.279|12.49|99.99| 0.91| 0.81|99.99|86|*
10005.352|11.75|99.99| 0.72| 0.66|99.99|86|*
10011.292|11.71| 0.16| 0.75| 0.61|99.99|86|*
10016.350|11.60|99.99| 0.92| 0.53|99.99|86|*
10017.334|11.71| 0.12| 0.73| 0.62|99.99|86|*
10018.365|11.68|99.99| 0.73| 0.60|99.99|86|*
10019.337|11.68|99.99| 0.76| 0.58|99.99|86|*
10020.185|11.71|99.99| 0.74| 0.63|99.99|86|*
10021.167|11.60|99.99| 0.79| 0.51|99.99|86|*
10022.156|11.66|99.99| 0.75| 0.60|99.99|86|*
10022.157|11.66|99.99| 0.75| 0.60|99.99|86|*
10285.430|11.75|99.99| 0.82| 0.61|99.99|86|*
10287.431|11.88|99.99| 0.87| 0.64|99.99|86|*
10288.421|11.75|99.99| 0.78| 0.64|99.99|86|*
10290.463|11.69|99.99| 0.73| 0.60|99.99|86|*
10291.465|11.88|99.99| 0.76| 0.62|99.99|86|*
10292.454|11.87| 0.18| 0.77| 0.63|99.99|86|*
10298.431|11.66|99.99| 0.76| 0.61|99.99|86|*
10302.466|11.63| 0.23| 0.74| 0.64|99.99|86|*
10343.458|11.77| 0.21| 0.77| 0.63|99.99|86|*
10344.428|11.68| 0.17| 0.76| 0.61|99.99|86|*
10345.436|11.69| 0.13| 0.74| 0.60|99.99|86|*
10352.428|11.80|99.99| 0.79| 0.69|99.99|86|*
10353.446|11.74|99.99| 0.76| 0.64|99.99|86|*
10354.346|11.78|99.99| 0.80| 0.64|99.99|86|*
10355.409|11.72|99.99| 0.78| 0.61|99.99|86|*
10356.378|11.68|99.99| 0.77| 0.62|99.99|86|*
10357.369|11.71|99.99| 0.75| 0.63|99.99|86|*
10359.434|11.71|99.99| 0.78| 0.62|99.99|86|*
10360.370|11.66|99.99| 0.75| 0.59|99.99|86|*
10367.349|11.66| 0.14| 0.75| 0.57|99.99|86|*
10368.381|12.10|99.99| 0.82| 0.67|99.99|86|*
10369.395|12.56|99.99| 1.04| 0.85|99.99|86|*
10370.372|12.50| 0.65| 1.15| 1.00|99.99|86|*
10376.239|11.65| 0.23| 0.76| 0.53|99.99|86|*
10377.297|11.69|99.99| 0.72| 0.63|99.99|86|*
10378.309|11.68|99.99| 0.75| 0.59|99.99|86|*
10379.309|11.67|99.99| 0.74| 0.63|99.99|86|*
10384.287|11.76|99.99| 0.66| 0.63|99.99|86|*
10386.262|11.91|99.99| 0.72| 0.61|99.99|86|*
10660.458|11.68| 0.26| 0.82| 0.57|99.99|86|*
10678.451|12.97|99.99| 1.00| 0.89|99.99|86|*
10680.411|11.67|99.99| 0.74| 0.63|99.99|86|*
10681.400|11.69|99.99| 0.76| 0.63|99.99|86|*
10682.379|11.62|99.99| 0.80| 0.68|99.99|86|*
10683.421|11.94|99.99| 0.92| 0.74|99.99|86|*
10684.392|11.83|99.99| 0.82| 0.66|99.99|86|*
10685.363|11.81|99.99| 0.79| 0.68|99.99|86|*
10686.401|11.63|99.99| 0.77| 0.60|99.99|86|*
10687.383|11.64| 0.11| 0.77| 0.59|99.99|86|*
10688.409|11.66|99.99| 0.74| 0.62|99.99|86|*
10689.370|11.62|99.99| 0.72| 0.58|99.99|86|*
10690.389|11.61|99.99| 0.72| 0.58|99.99|86|*
10691.392|11.64|99.99| 0.72| 0.61|99.99|86|*
10693.413|11.61|99.99| 0.75| 0.58|99.99|86|*
10694.379|11.62|99.99| 0.74| 0.59|99.99|86|*
10695.413|11.65|99.99| 0.73| 0.61|99.99|86|*
10696.404|11.61|99.99| 0.73| 0.60|99.99|86|*
10697.397|11.58|99.99| 0.75| 0.56|99.99|86|*
10698.397|11.60| 0.20| 0.73| 0.59|99.99|86|*
10700.338|11.60| 0.16| 0.76| 0.59|99.99|86|*
10701.402|11.60|99.99| 0.75| 0.59|99.99|86|*
10702.404|11.62|99.99| 0.75| 0.59|99.99|86|*
10703.409|11.63|99.99| 0.76| 0.59|99.99|86|*
10704.427|11.63|99.99| 0.76| 0.61|99.99|86|*
10705.371|11.63|99.99| 0.77| 0.60|99.99|86|*
10706.380|11.65|99.99| 0.77| 0.61|99.99|86|*
10709.329|11.61|99.99| 0.77| 0.55|99.99|86|*
10710.414|11.65|99.99| 0.74| 0.59|99.99|86|*
10711.350|11.62|99.99| 0.76| 0.58|99.99|86|*
10712.336|11.59|99.99| 0.72| 0.58|99.99|86|*
10713.335|11.57|99.99| 0.73| 0.57|99.99|86|*
10714.387|11.58|99.99| 0.73| 0.57|99.99|86|*
10715.334|11.59|99.99| 0.73| 0.60|99.99|86|*
10716.334|11.62| 0.13| 0.75| 0.60|99.99|86|*
10717.358|11.59| 0.15| 0.73| 0.57|99.99|86|*
10718.318|11.57| 0.20| 0.73| 0.58|99.99|86|*
10719.323|11.60| 0.19| 0.75| 0.57|99.99|86|*
10720.322|11.66| 0.14| 0.74| 0.62|99.99|86|*
10723.309|11.60| 0.14| 0.74| 0.61|99.99|86|*
10725.263|11.59| 0.12| 0.71| 0.60|99.99|86|*
10727.403|11.62| 0.14| 0.72| 0.62|99.99|86|*
10728.255|11.61| 0.15| 0.75| 0.61|99.99|86|*
10731.222|11.66| 0.28| 0.80| 0.63|99.99|86|*
10732.192|11.70|99.99| 0.78| 0.64|99.99|86|*
10733.203|11.65|99.99| 0.79| 0.63|99.99|86|*
10734.302|11.69|99.99| 0.77| 0.70|99.99|86|*
10737.186|11.55|99.99| 0.73| 0.58|99.99|86|*
10740.193|11.68|99.99| 0.82| 0.62|99.99|86|*
10744.213|11.66| 0.14| 0.73| 0.61|99.99|86|*
10745.198|11.63| 0.21| 0.74| 0.58|99.99|86|*
10753.205|11.59| 0.06| 0.76| 0.52|99.99|86|*
10791.146|11.60| 0.13| 0.74| 0.57|99.99|86|*
--------------------------------------------
