\INPUT_FILE = /mscadata/ETSS-prep/KELT/testall/raw/KELT_N02_lc_30387_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:14:20 2006"               
\STOP_DATE = "Mon Nov 24, 09:41:52 2008"               
\fixlen = T
\NUMRECORDS = 636      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Apr 09, 14:56:02 2015
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|        double|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454404.795521 15.74768 0.02648 
 2454405.791187 15.76930 0.03073 
 2454405.796739 15.74518 0.02966 
 2454407.783263 15.73346 0.02573 
 2454407.788817 15.74161 0.02191 
 2454408.785179 15.76638 0.02294 
 2454408.790732 15.74745 0.02244 
 2454409.778020 15.79831 0.02498 
 2454409.783575 15.73016 0.02275 
 2454412.773870 15.76069 0.02141 
 2454412.779421 15.71980 0.02144 
 2454413.766706 15.76159 0.02324 
 2454413.772261 15.72270 0.02085 
 2454414.763896 15.81661 0.03024 
 2454414.769451 15.69604 0.02268 
 2454414.775004 15.76081 0.02230 
 2454416.762785 15.78383 0.01872 
 2454416.768151 15.72030 0.01907 
 2454416.773512 15.79740 0.01859 
 2454418.753037 15.73928 0.02431 
 2454437.704844 15.77372 0.01854 
 2454438.701748 15.77052 0.02077 
 2454439.698417 15.87226 0.01956 
 2454439.703828 15.85106 0.01969 
 2454447.676278 15.80884 0.01887 
 2454447.681686 15.78401 0.01987 
 2454448.670278 15.79314 0.02034 
 2454448.675728 15.77905 0.01994 
 2454448.681143 15.72871 0.02074 
 2454449.670874 15.76880 0.02011 
 2454450.668277 15.78053 0.02204 
 2454462.634826 16.04890 0.02042 
 2454462.640186 16.08666 0.01933 
 2454463.630221 16.37627 0.01898 
 2454463.635580 16.49909 0.01986 
 2454464.625552 16.02596 0.02068 
 2454464.630910 15.99426 0.02055 
 2454464.636271 15.99850 0.02024 
 2454465.626301 15.80125 0.02064 
 2454465.631659 15.76523 0.02038 
 2454731.911129 15.79137 0.02564 
 2454731.918186 15.73981 0.02465 
 2454731.925237 15.78010 0.02377 
 2454731.932302 15.80002 0.02380 
 2454731.939360 15.80471 0.02423 
 2454731.946413 15.82480 0.02432 
 2454731.953470 15.76711 0.02450 
 2454731.960518 15.78141 0.02519 
 2454731.965243 15.81111 0.02666 
 2454731.969946 15.78688 0.02737 
 2454731.974665 15.77058 0.02728 
 2454731.979370 15.76534 0.02872 
 2454731.984093 15.76561 0.02957 
 2454731.988810 15.83291 0.02879 
 2454731.993528 15.75561 0.02953 
 2454731.995732 15.80573 0.02546 
 2454731.997931 15.79688 0.02630 
 2454732.000119 15.77013 0.02603 
 2454732.002325 15.75616 0.02656 
 2454732.004514 15.76437 0.02734 
 2454732.006723 15.78903 0.02875 
 2454732.008918 15.80932 0.03025 
 2454732.011117 15.72829 0.03296 
 2454732.908842 15.84814 0.02362 
 2454732.915910 15.80485 0.02196 
 2454732.922966 15.84221 0.02149 
 2454732.930025 15.86978 0.02163 
 2454732.937079 15.84527 0.02185 
 2454732.944128 15.84632 0.02249 
 2454732.951187 15.83033 0.02273 
 2454732.958237 15.83559 0.02395 
 2454732.962949 15.83190 0.02505 
 2454732.967666 15.82290 0.02581 
 2454732.972383 15.86925 0.02564 
 2454732.977091 15.80874 0.02597 
 2454732.981818 15.82309 0.02758 
 2454732.986528 15.83735 0.02696 
 2454732.991250 15.81449 0.02663 
 2454732.993448 15.82240 0.02372 
 2454732.995638 15.81358 0.02347 
 2454732.997847 15.80912 0.02384 
 2454733.000048 15.81287 0.02388 
 2454733.002248 15.80220 0.02407 
 2454733.004443 15.82361 0.02556 
 2454733.006635 15.78489 0.02675 
 2454733.008842 15.78631 0.02771 
 2454733.011028 15.80891 0.02980 
 2454733.013239 15.84982 0.03304 
 2454733.015437 15.81666 0.03760 
 2454733.905523 15.82539 0.01988 
 2454733.915691 15.80364 0.02110 
 2454733.925860 15.82942 0.02118 
 2454733.936036 15.86241 0.02221 
 2454733.946213 15.79386 0.02277 
 2454733.956390 15.82983 0.02280 
 2454733.961110 15.83314 0.02308 
 2454733.965835 15.82206 0.02305 
 2454733.970555 15.80511 0.02369 
 2454733.975288 15.80184 0.02361 
 2454733.980014 15.77092 0.02299 
 2454733.984745 15.82349 0.02362 
 2454733.991946 15.77761 0.02402 
 2454733.996679 15.85485 0.02132 
 2454734.001407 15.90995 0.02111 
 2454734.006130 15.82342 0.02279 
 2454734.010857 15.85379 0.02645 
 2454734.015587 15.80149 0.03466 
 2454734.910291 15.81499 0.02196 
 2454734.922722 15.82403 0.02247 
 2454734.935147 15.81764 0.02321 
 2454734.947576 15.80779 0.02329 
 2454734.957535 15.79031 0.02428 
 2454734.965242 15.79713 0.02372 
 2454734.972934 15.78745 0.02521 
 2454734.980632 15.78659 0.02550 
 2454734.988567 15.80464 0.02582 
 2454734.996494 15.83127 0.02573 
 2454735.004412 15.75072 0.02632 
 2454735.012348 15.79735 0.03117 
 2454737.900117 15.96020 0.02010 
 2454737.912550 15.98904 0.02011 
 2454737.924981 15.96457 0.02085 
 2454737.937428 15.97792 0.02111 
 2454737.949909 15.96154 0.02115 
 2454737.959908 15.94333 0.02249 
 2454737.969923 15.95586 0.02284 
 2454737.979925 15.94807 0.02266 
 2454737.990109 15.92453 0.02280 
 2454738.000286 15.93839 0.02384 
 2454738.010467 15.95582 0.02478 
 2454738.899883 16.29197 0.01904 
 2454738.912308 16.32042 0.01935 
 2454738.924726 16.33137 0.02058 
 2454738.937139 16.31562 0.01977 
 2454738.947117 16.31188 0.01914 
 2454738.957126 16.35251 0.02053 
 2454738.967124 16.52571 0.02016 
 2454738.977116 16.46240 0.02055 
 2454738.987277 16.50677 0.01942 
 2454738.997441 16.50806 0.01983 
 2454739.007620 16.51469 0.02129 
 2454739.896024 16.20249 0.02046 
 2454739.908443 16.13553 0.02068 
 2454739.920858 16.17242 0.02008 
 2454739.933271 16.12090 0.02189 
 2454739.945727 16.14938 0.02180 
 2454739.955730 16.09760 0.02255 
 2454739.975703 16.08001 0.02392 
 2454739.996040 16.08323 0.02442 
 2454740.006204 16.07437 0.02412 
 2454741.892292 16.01873 0.02277 
 2454741.904713 16.04578 0.02276 
 2454741.917126 16.05077 0.02304 
 2454741.929543 16.00740 0.02363 
 2454741.939528 16.06601 0.02300 
 2454741.949515 16.00052 0.02485 
 2454741.959516 16.01757 0.02436 
 2454741.969507 15.98420 0.02557 
 2454741.979686 16.06697 0.02351 
 2454741.989850 15.95062 0.02299 
 2454742.000017 15.94206 0.02456 
 2454742.012477 15.96425 0.02461 
 2454742.889914 15.80051 0.02526 
 2454742.902330 15.88237 0.02075 
 2454742.914759 15.88673 0.02082 
 2454742.927184 15.83961 0.01414 
 2454742.937182 15.82379 0.02050 
 2454742.947180 15.85230 0.02115 
 2454742.957179 15.85221 0.02092 
 2454742.967187 15.86830 0.02190 
 2454742.977370 15.83297 0.02077 
 2454742.987551 15.84587 0.02150 
 2454742.997725 15.82661 0.02287 
 2454743.010217 15.82705 0.02180 
 2454743.020220 15.92120 0.03161 
 2454743.885090 15.86844 0.02200 
 2454743.897506 15.82661 0.02131 
 2454743.909921 15.79350 0.03654 
 2454743.922327 15.75100 0.03409 
 2454743.934773 15.82842 0.02226 
