\INPUT_FILE = /mscadata/ETSS-prep/KELT/testall/raw/KELT_N02_lc_34612_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:52:02 2006"               
\STOP_DATE = "Mon Nov 24, 04:52:01 2008"               
\fixlen = T
\NUMRECORDS = 1680     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Apr 09, 16:37:19 2015
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|        double|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454052.677224 15.67224 0.02496 
 2454052.682587 15.70135 0.02518 
 2454052.687955 15.68616 0.02408 
 2454052.693326 15.64652 0.02473 
 2454052.695432 15.68159 0.02468 
 2454052.699954 15.64544 0.02541 
 2454052.704477 15.67817 0.02432 
 2454052.708996 15.68711 0.02485 
 2454052.713519 15.60101 0.02521 
 2454052.718035 15.72653 0.02537 
 2454052.722557 15.63358 0.02511 
 2454052.727073 15.66262 0.02517 
 2454052.736113 15.67992 0.02661 
 2454052.740638 15.68483 0.02630 
 2454052.745162 15.69222 0.02765 
 2454052.749678 15.70431 0.02596 
 2454053.656605 15.68741 0.02529 
 2454053.661130 15.70423 0.02448 
 2454053.665655 15.70990 0.02413 
 2454053.670177 15.68937 0.02346 
 2454053.675541 15.69790 0.02359 
 2454053.680910 15.68008 0.02405 
 2454053.686280 15.68952 0.02485 
 2454053.691651 15.70727 0.02438 
 2454053.693756 15.67737 0.02396 
 2454053.698281 15.68754 0.02322 
 2454053.702797 15.68163 0.02302 
 2454053.711849 15.70049 0.02244 
 2454053.716372 15.67513 0.02244 
 2454053.720894 15.69182 0.02296 
 2454053.725412 15.72420 0.02252 
 2454053.729936 15.68969 0.02199 
 2454053.734458 15.70150 0.02262 
 2454053.738977 15.70927 0.02234 
 2454053.743502 15.71317 0.02317 
 2454053.748027 15.71080 0.02235 
 2454054.657677 15.68948 0.02284 
 2454054.662195 15.72926 0.02243 
 2454054.666720 15.69411 0.02214 
 2454054.672092 15.67126 0.02293 
 2454054.677462 15.74202 0.02288 
 2454054.682834 15.69811 0.02249 
 2454054.688203 15.67952 0.02271 
 2454054.690307 15.68290 0.02293 
 2454054.694829 15.72237 0.02220 
 2454054.699348 15.69655 0.02234 
 2454054.703872 15.70317 0.02224 
 2454054.708394 15.69012 0.02199 
 2454054.712911 15.72439 0.02272 
 2454054.717435 15.68785 0.02237 
 2454054.721960 15.69327 0.02237 
 2454054.726483 15.70190 0.02223 
 2454054.731000 15.66294 0.02180 
 2454054.735524 15.72985 0.02184 
 2454054.740049 15.72782 0.02150 
 2454054.744573 15.74568 0.02191 
 2454055.651939 15.68656 0.02431 
 2454055.656463 15.68077 0.02429 
 2454055.660989 15.73306 0.02396 
 2454055.666353 15.65213 0.02369 
 2454055.671721 15.65974 0.02366 
 2454055.677091 15.67954 0.02333 
 2454055.682460 15.68948 0.02278 
 2454055.684565 15.69686 0.02281 
 2454055.689089 15.67746 0.02317 
 2454055.693614 15.67469 0.02266 
 2454055.698139 15.67784 0.02253 
 2454055.702655 15.69155 0.02261 
 2454055.707179 15.64583 0.02281 
 2454055.711701 15.69610 0.02235 
 2454055.716219 15.66220 0.02226 
 2454055.720743 15.67626 0.02258 
 2454055.725267 15.69274 0.02241 
 2454055.729784 15.68486 0.02259 
 2454055.734308 15.67535 0.02249 
 2454055.738831 15.69404 0.02238 
 2454056.652605 15.69423 0.02357 
 2454056.657124 15.69181 0.02399 
 2454056.661648 15.70102 0.02373 
 2454056.667010 15.69469 0.02416 
 2454056.672378 15.65712 0.02423 
 2454056.677741 15.68434 0.02407 
 2454056.683108 15.67955 0.02421 
 2454056.685210 15.73253 0.02376 
 2454056.689734 15.70552 0.02383 
